number,value,datetime_start,datetime_complete,duration,params_K,params_tournament_multiplier,state
0,0.6653628662840098,2025-11-14 22:46:43.398202,2025-11-14 22:46:43.435699,0 days 00:00:00.037497,103.84453068565722,2.8663263131194956,COMPLETE
1,0.6511834054171192,2025-11-14 22:46:43.435836,2025-11-14 22:46:43.472623,0 days 00:00:00.036787,224.4865921134861,3.3560757511413075,COMPLETE
2,0.6435600608908592,2025-11-14 22:46:43.472749,2025-11-14 22:46:43.509909,0 days 00:00:00.037160,392.1881459782137,1.8177778158479247,COMPLETE
3,0.6590351193384935,2025-11-14 22:46:43.510055,2025-11-14 22:46:43.546553,0 days 00:00:00.036498,145.46748502011738,3.405616532605058,COMPLETE
4,0.6467895455477374,2025-11-14 22:46:43.546655,2025-11-14 22:46:43.583582,0 days 00:00:00.036927,479.48828330501556,3.6277979042262842,COMPLETE
5,0.6542456504837088,2025-11-14 22:46:43.583676,2025-11-14 22:46:43.620724,0 days 00:00:00.037048,185.33046227935466,2.502985376570376,COMPLETE
6,0.6455642810720936,2025-11-14 22:46:43.620825,2025-11-14 22:46:43.675431,0 days 00:00:00.054606,344.8968382343468,3.1381060809487007,COMPLETE
7,0.6536631144709795,2025-11-14 22:46:43.675665,2025-11-14 22:46:43.714394,0 days 00:00:00.038729,191.42286984729353,2.683588558196875,COMPLETE
8,0.6489196224985022,2025-11-14 22:46:43.714498,2025-11-14 22:46:43.752884,0 days 00:00:00.038386,256.51075100082676,1.0413053487720467,COMPLETE
9,0.6460636826581134,2025-11-14 22:46:43.752981,2025-11-14 22:46:43.790959,0 days 00:00:00.037978,388.6850445900633,3.6479235719083496,COMPLETE
10,0.6814721988551685,2025-11-14 22:46:43.791060,2025-11-14 22:46:43.829612,0 days 00:00:00.038552,34.9291735244193,1.5260232505419273,COMPLETE
11,0.6443054763339527,2025-11-14 22:46:43.829714,2025-11-14 22:46:43.868651,0 days 00:00:00.038937,354.45719386464964,1.8548683384542,COMPLETE
12,0.6444471543413774,2025-11-14 22:46:43.868762,2025-11-14 22:46:43.908942,0 days 00:00:00.040180,349.135877606526,1.9272791391249282,COMPLETE
13,0.6432023565419047,2025-11-14 22:46:43.909050,2025-11-14 22:46:43.947572,0 days 00:00:00.038522,463.91656956709267,1.9611050718302403,COMPLETE
14,0.643376271050055,2025-11-14 22:46:43.947675,2025-11-14 22:46:43.985834,0 days 00:00:00.038159,484.08537065284327,2.071297741006164,COMPLETE
15,0.64362019169484,2025-11-14 22:46:43.985936,2025-11-14 22:46:44.024280,0 days 00:00:00.038344,482.7442611925395,2.319899047893772,COMPLETE
16,0.6433222643212928,2025-11-14 22:46:44.024376,2025-11-14 22:46:44.062589,0 days 00:00:00.038213,444.3311893128493,1.298109609818505,COMPLETE
17,0.6435223026154165,2025-11-14 22:46:44.062681,2025-11-14 22:46:44.101053,0 days 00:00:00.038372,428.9337520926701,1.1552381361090371,COMPLETE
18,0.6462643036077915,2025-11-14 22:46:44.101147,2025-11-14 22:46:44.139949,0 days 00:00:00.038802,300.67541578297977,1.4678959430204293,COMPLETE
19,0.6433269849397847,2025-11-14 22:46:44.140051,2025-11-14 22:46:44.177810,0 days 00:00:00.037759,424.1644447438708,1.418803518959765,COMPLETE
20,0.6468923492418618,2025-11-14 22:46:44.177892,2025-11-14 22:46:44.216607,0 days 00:00:00.038715,285.0023761903405,2.2061812825271363,COMPLETE
21,0.6433641307470279,2025-11-14 22:46:44.216704,2025-11-14 22:46:44.255595,0 days 00:00:00.038891,418.85279930106617,1.423625470145643,COMPLETE
22,0.6431445380376067,2025-11-14 22:46:44.255700,2025-11-14 22:46:44.295371,0 days 00:00:00.039671,443.19949705481883,1.6827321029476598,COMPLETE
23,0.6431352171484817,2025-11-14 22:46:44.295472,2025-11-14 22:46:44.334619,0 days 00:00:00.039147,447.9392156873275,1.6935795597445082,COMPLETE
24,0.6433256250302201,2025-11-14 22:46:44.334720,2025-11-14 22:46:44.374093,0 days 00:00:00.039373,496.929265693618,1.692122967564862,COMPLETE
25,0.6431370990356196,2025-11-14 22:46:44.374189,2025-11-14 22:46:44.413631,0 days 00:00:00.039442,450.71399653610166,1.6520101087141263,COMPLETE
26,0.6436244487910178,2025-11-14 22:46:44.413724,2025-11-14 22:46:44.453369,0 days 00:00:00.039645,388.36364624810915,1.705871321852992,COMPLETE
27,0.6448033143662477,2025-11-14 22:46:44.453480,2025-11-14 22:46:44.492817,0 days 00:00:00.039337,338.6260975823561,2.1845477030834064,COMPLETE
28,0.6461656596314431,2025-11-14 22:46:44.492923,2025-11-14 22:46:44.532032,0 days 00:00:00.039109,302.55710696728545,2.3999656759817984,COMPLETE
29,0.6807500983954878,2025-11-14 22:46:44.532133,2025-11-14 22:46:44.570688,0 days 00:00:00.038555,36.70660103441449,2.761299630016023,COMPLETE
30,0.643148168841372,2025-11-14 22:46:44.570780,2025-11-14 22:46:44.609142,0 days 00:00:00.038362,452.4965873299584,1.5928932991581797,COMPLETE
31,0.6431341407832768,2025-11-14 22:46:44.609236,2025-11-14 22:46:44.647843,0 days 00:00:00.038607,448.30343430548237,1.7039758743701323,COMPLETE
32,0.6470060470009792,2025-11-14 22:46:44.647942,2025-11-14 22:46:44.686686,0 days 00:00:00.038744,390.91953404692066,3.9872072330127972,COMPLETE
33,0.6435220858176741,2025-11-14 22:46:44.686781,2025-11-14 22:46:44.725800,0 days 00:00:00.039019,415.1290675814203,1.255800513596374,COMPLETE
34,0.6437683665767031,2025-11-14 22:46:44.725898,2025-11-14 22:46:44.764002,0 days 00:00:00.038104,381.62964107155005,2.0432412416902137,COMPLETE
35,0.6431348807240213,2025-11-14 22:46:44.764081,2025-11-14 22:46:44.802670,0 days 00:00:00.038589,447.22934462948837,1.7195777363323457,COMPLETE
36,0.6648152852344332,2025-11-14 22:46:44.802762,2025-11-14 22:46:44.841037,0 days 00:00:00.038275,108.01796706923324,1.8233435372737863,COMPLETE
37,0.6437968227175704,2025-11-14 22:46:44.841128,2025-11-14 22:46:44.879680,0 days 00:00:00.038552,467.84979962488245,2.5233553728807356,COMPLETE
38,0.6434830439588901,2025-11-14 22:46:44.879756,2025-11-14 22:46:44.919150,0 days 00:00:00.039394,496.94015444360076,1.3097168251540514,COMPLETE
39,0.6450350941622495,2025-11-14 22:46:44.919243,2025-11-14 22:46:44.957988,0 days 00:00:00.038745,371.7465246527408,3.0999343753495383,COMPLETE
40,0.6438765102717278,2025-11-14 22:46:44.958090,2025-11-14 22:46:44.996365,0 days 00:00:00.038275,405.21155621884526,1.0251794188733836,COMPLETE
41,0.6431466365401434,2025-11-14 22:46:44.996454,2025-11-14 22:46:45.035071,0 days 00:00:00.038617,442.33517873020566,1.6825034029415504,COMPLETE
42,0.6431478493083241,2025-11-14 22:46:45.035156,2025-11-14 22:46:45.073771,0 days 00:00:00.038615,449.4298643212763,1.6028688317267985,COMPLETE
43,0.6431360919212146,2025-11-14 22:46:45.073865,2025-11-14 22:46:45.112386,0 days 00:00:00.038521,458.54356191496896,1.7706943204120664,COMPLETE
44,0.6453123650453734,2025-11-14 22:46:45.112490,2025-11-14 22:46:45.151123,0 days 00:00:00.038633,321.448515651239,1.892788518983199,COMPLETE
45,0.6433365817247421,2025-11-14 22:46:45.151221,2025-11-14 22:46:45.190199,0 days 00:00:00.038978,467.0232613330494,2.145704545130713,COMPLETE
46,0.6500118227138355,2025-11-14 22:46:45.190294,2025-11-14 22:46:45.228503,0 days 00:00:00.038209,234.2306537380967,1.790068650711434,COMPLETE
47,0.6436738655371367,2025-11-14 22:46:45.228590,2025-11-14 22:46:45.267441,0 days 00:00:00.038851,405.5354976898723,1.198466348010273,COMPLETE
48,0.643975810394346,2025-11-14 22:46:45.267539,2025-11-14 22:46:45.306628,0 days 00:00:00.039089,369.5383573381639,1.982816847988467,COMPLETE
49,0.6432193833855713,2025-11-14 22:46:45.306713,2025-11-14 22:46:45.345508,0 days 00:00:00.038795,478.2791370092874,1.5514192696333802,COMPLETE
50,0.6434951821230773,2025-11-14 22:46:45.345597,2025-11-14 22:46:45.383736,0 days 00:00:00.038139,432.01806505282974,2.3473090353807744,COMPLETE
51,0.6431417789493719,2025-11-14 22:46:45.383833,2025-11-14 22:46:45.423351,0 days 00:00:00.039518,462.7511365914176,1.7566960563864702,COMPLETE
52,0.6431436109889624,2025-11-14 22:46:45.423440,2025-11-14 22:46:45.461808,0 days 00:00:00.038368,461.0292359526315,1.7997168909743464,COMPLETE
53,0.64344220116076,2025-11-14 22:46:45.461899,2025-11-14 22:46:45.500498,0 days 00:00:00.038599,498.2865596912706,1.3778362491448861,COMPLETE
54,0.6434447567376667,2025-11-14 22:46:45.500585,2025-11-14 22:46:45.539731,0 days 00:00:00.039146,404.335471021802,1.5547508811858068,COMPLETE
55,0.6544209270237581,2025-11-14 22:46:45.539856,2025-11-14 22:46:45.578739,0 days 00:00:00.038883,183.78624752901922,2.067230103007223,COMPLETE
56,0.6435471877991404,2025-11-14 22:46:45.578826,2025-11-14 22:46:45.618395,0 days 00:00:00.039569,431.80581701236787,1.1203469946946532,COMPLETE
57,0.6432721320361097,2025-11-14 22:46:45.618484,2025-11-14 22:46:45.657550,0 days 00:00:00.039066,481.221404915779,1.9392248948233646,COMPLETE
58,0.6431979983346232,2025-11-14 22:46:45.657673,2025-11-14 22:46:45.696034,0 days 00:00:00.038361,462.9223622805146,1.4771613279072517,COMPLETE
59,0.644180920203824,2025-11-14 22:46:45.696126,2025-11-14 22:46:45.734756,0 days 00:00:00.038630,359.8199145859786,1.7464113917009285,COMPLETE
60,0.6434589730169032,2025-11-14 22:46:45.734845,2025-11-14 22:46:45.773976,0 days 00:00:00.039131,417.7410391144444,2.236775376174273,COMPLETE
61,0.6431464774846642,2025-11-14 22:46:45.774069,2025-11-14 22:46:45.812538,0 days 00:00:00.038469,459.1050625924328,1.8316272509310292,COMPLETE
62,0.6431732441067161,2025-11-14 22:46:45.812621,2025-11-14 22:46:45.851975,0 days 00:00:00.039354,436.7602092160911,1.6264949372853992,COMPLETE
63,0.6432478454210752,2025-11-14 22:46:45.852070,2025-11-14 22:46:45.890980,0 days 00:00:00.038910,485.7997778954182,1.780036656399597,COMPLETE
64,0.643156039246796,2025-11-14 22:46:45.891066,2025-11-14 22:46:45.929621,0 days 00:00:00.038555,452.44157036943756,1.8892908236521802,COMPLETE
65,0.6433078830122184,2025-11-14 22:46:45.929696,2025-11-14 22:46:45.968762,0 days 00:00:00.039066,472.8351801128394,1.34388833425591,COMPLETE
66,0.6434811127686656,2025-11-14 22:46:45.968863,2025-11-14 22:46:46.007888,0 days 00:00:00.039025,400.45313504292443,1.9881850190525656,COMPLETE
67,0.643290284140258,2025-11-14 22:46:46.007970,2025-11-14 22:46:46.046319,0 days 00:00:00.038349,425.3410435108249,1.4700663364736046,COMPLETE
68,0.6431309597320796,2025-11-14 22:46:46.046409,2025-11-14 22:46:46.085635,0 days 00:00:00.039226,453.120641431877,1.7415666944017683,COMPLETE
69,0.6431432371350302,2025-11-14 22:46:46.085733,2025-11-14 22:46:46.125040,0 days 00:00:00.039307,443.7548430068918,1.6832920807636325,COMPLETE
70,0.6433718843379371,2025-11-14 22:46:46.125132,2025-11-14 22:46:46.164470,0 days 00:00:00.039338,419.5922038120833,2.1301178386241832,COMPLETE
71,0.643163011571096,2025-11-14 22:46:46.164551,2025-11-14 22:46:46.203806,0 days 00:00:00.039255,439.6297219233616,1.6271822009113908,COMPLETE
72,0.6432108693619518,2025-11-14 22:46:46.203893,2025-11-14 22:46:46.243056,0 days 00:00:00.039163,481.00141750234775,1.717287611259615,COMPLETE
73,0.6431736544768392,2025-11-14 22:46:46.243152,2025-11-14 22:46:46.281789,0 days 00:00:00.038637,450.3991193273578,1.5203587872201307,COMPLETE
74,0.6437381096355053,2025-11-14 22:46:46.281865,2025-11-14 22:46:46.320900,0 days 00:00:00.039035,381.9737404204126,1.6659508915786452,COMPLETE
75,0.6434338098172944,2025-11-14 22:46:46.321008,2025-11-14 22:46:46.360366,0 days 00:00:00.039358,499.4077543350521,1.4055662357021026,COMPLETE
76,0.6433366980637438,2025-11-14 22:46:46.360458,2025-11-14 22:46:46.399890,0 days 00:00:00.039432,411.6741526168586,1.8888013766614578,COMPLETE
77,0.6432459706160399,2025-11-14 22:46:46.399993,2025-11-14 22:46:46.439382,0 days 00:00:00.039389,468.4036788256515,2.0129535944791663,COMPLETE
78,0.6431446737408546,2025-11-14 22:46:46.439472,2025-11-14 22:46:46.478866,0 days 00:00:00.039394,442.19830588712085,1.7615476284104712,COMPLETE
79,0.6456835403063553,2025-11-14 22:46:46.478962,2025-11-14 22:46:46.517706,0 days 00:00:00.038744,333.9642495923818,3.0407117060021074,COMPLETE
80,0.6480607167678059,2025-11-14 22:46:46.517788,2025-11-14 22:46:46.557350,0 days 00:00:00.039562,268.47335533919033,1.210994881161278,COMPLETE
81,0.643149114905926,2025-11-14 22:46:46.557441,2025-11-14 22:46:46.596258,0 days 00:00:00.038817,459.61599828425625,1.8397702971345833,COMPLETE
82,0.6432231604249633,2025-11-14 22:46:46.596339,2025-11-14 22:46:46.635743,0 days 00:00:00.039404,430.0850013320001,1.5594227632446223,COMPLETE
83,0.64324622875533,2025-11-14 22:46:46.635837,2025-11-14 22:46:46.674894,0 days 00:00:00.039057,486.4882366449323,1.7323729019397547,COMPLETE
84,0.643173065598883,2025-11-14 22:46:46.674984,2025-11-14 22:46:46.714314,0 days 00:00:00.039330,455.53951808850155,1.9319528902570346,COMPLETE
85,0.6435752649551008,2025-11-14 22:46:46.714402,2025-11-14 22:46:46.753099,0 days 00:00:00.038697,392.4814194037344,1.6382453699481576,COMPLETE
86,0.645906839085019,2025-11-14 22:46:46.753196,2025-11-14 22:46:46.792284,0 days 00:00:00.039088,469.9341880878312,3.4126801720704467,COMPLETE
87,0.6432970458396566,2025-11-14 22:46:46.792372,2025-11-14 22:46:46.832024,0 days 00:00:00.039652,488.7891219037424,1.5085701693496287,COMPLETE
88,0.6438193385041173,2025-11-14 22:46:46.832112,2025-11-14 22:46:46.870799,0 days 00:00:00.038687,446.5980275841931,2.599221962586957,COMPLETE
89,0.6572871224573453,2025-11-14 22:46:46.870886,2025-11-14 22:46:46.909593,0 days 00:00:00.038707,158.58156063007937,2.0943655125750977,COMPLETE
90,0.6738597180884326,2025-11-14 22:46:46.909681,2025-11-14 22:46:46.948515,0 days 00:00:00.038834,63.6153231756943,1.815912581391454,COMPLETE
91,0.643173942215248,2025-11-14 22:46:46.948604,2025-11-14 22:46:46.988348,0 days 00:00:00.039744,434.4436041591704,1.6778596503517165,COMPLETE
92,0.6431837765043006,2025-11-14 22:46:46.988444,2025-11-14 22:46:47.027742,0 days 00:00:00.039298,472.53381593833547,1.5891467819666811,COMPLETE
93,0.6433362224258559,2025-11-14 22:46:47.027845,2025-11-14 22:46:47.067254,0 days 00:00:00.039409,422.2128099266125,1.426623347166739,COMPLETE
94,0.6431330156067269,2025-11-14 22:46:47.067340,2025-11-14 22:46:47.106625,0 days 00:00:00.039285,457.656470021801,1.7385028124254207,COMPLETE
95,0.6431384134337674,2025-11-14 22:46:47.106712,2025-11-14 22:46:47.145667,0 days 00:00:00.038955,459.3129616224185,1.78256368378716,COMPLETE
96,0.6431315894219822,2025-11-14 22:46:47.145757,2025-11-14 22:46:47.185182,0 days 00:00:00.039425,450.7328706538021,1.7408937419600539,COMPLETE
97,0.6431541453169647,2025-11-14 22:46:47.185278,2025-11-14 22:46:47.225208,0 days 00:00:00.039930,456.06136205395165,1.876011668400558,COMPLETE
98,0.643179392355071,2025-11-14 22:46:47.225303,2025-11-14 22:46:47.264452,0 days 00:00:00.039149,474.2255691246372,1.7577448981973292,COMPLETE
99,0.6435014000214659,2025-11-14 22:46:47.264537,2025-11-14 22:46:47.303559,0 days 00:00:00.039022,399.43686407753233,2.0121620117452816,COMPLETE
