Time,Team1,Team2,Score1,Score2,P_TrueSkill(team1 wins),P_ELO(team1 wins)
9/19/2023 19:10:00,Red for Filth,Limoncellhoes,1,5,0.5,0.5
9/19/2023 19:10:00,The Grey Agenda,Gay Grimaces,1,5,0.5,0.5
9/19/2023 19:30:00,Booooo Bs,Coochie Monsters,2,3,0.5,0.5
9/19/2023 19:30:00,Gay Grimaces,Red for Filth,2,2,0.5000006171063144,0.5967643562763729
9/19/2023 19:50:00,Booooo Bs,Limoncellhoes,4,0,0.4855391643417965,0.4200815060926639
9/19/2023 19:50:00,The Grey Agenda,Coochie Monsters,1,3,0.4796613287644462,0.422491061609891
9/26/2023 19:10:00,Gay Grimaces,Booooo Bs,0,6,0.5145313400022319,0.5108694216173169
9/26/2023 19:10:00,The Grey Agenda,Red for Filth,3,2,0.4999870326637092,0.4568837382253622
9/26/2023 19:30:00,Gay Grimaces,Coochie Monsters,0,5,0.47952024115684877,0.4256189241773159
9/26/2023 19:30:00,Limoncellhoes,The Grey Agenda,2,1,0.4803259357653989,0.5475961812990233
9/26/2023 19:50:00,Booooo Bs,Red for Filth,3,2,0.4970182966849619,0.6625238850010655
9/26/2023 19:50:00,Coochie Monsters,Limoncellhoes,3,3,0.5173360218015697,0.5904456822941911
10/3/2023 19:10:00,Limoncellhoes,Gay Grimaces,1,3,0.5090809540067271,0.5802440849369784
10/3/2023 19:10:00,Red for Filth,Coochie Monsters,2,2,0.459879543685367,0.31920974318852235
10/3/2023 19:30:00,Coochie Monsters,The Grey Agenda,5,0,0.4825986204366291,0.6669735642725163
10/3/2023 19:30:00,Limoncellhoes,Booooo Bs,2,2,0.5006936362256601,0.35878126503339064
10/3/2023 19:50:00,Booooo Bs,The Grey Agenda,4,0,0.49049234286310256,0.7130202550398015
10/3/2023 19:50:00,Red for Filth,Gay Grimaces,1,3,0.487570077157109,0.4353362287366312
10/10/2023 19:10:00,Coochie Monsters,Gay Grimaces,4,0,0.5008912726297394,0.6045682990516621
10/10/2023 19:10:00,The Grey Agenda,Limoncellhoes,1,3,0.5095035722284633,0.37504386099003084
10/10/2023 19:30:00,Booooo Bs,Coochie Monsters,0,4,0.5075363726772725,0.4731139807236323
10/10/2023 19:30:00,Limoncellhoes,Red for Filth,4,2,0.5215857107622017,0.619985030907342
10/10/2023 19:50:00,Gay Grimaces,The Grey Agenda,1,3,0.4818364869357877,0.6542416322978856
10/10/2023 19:50:00,Red for Filth,Booooo Bs,0,3,0.47862190665553256,0.2859275076081135
10/17/2023 19:10:00,Booooo Bs,Gay Grimaces,1,3,0.5083723619841037,0.6815618964502654
10/17/2023 19:10:00,Red for Filth,The Grey Agenda,1,4,0.4683438054091955,0.4594840747662532
10/17/2023 19:30:00,Coochie Monsters,Red for Filth,3,1,0.5140884405733744,0.8439611195737396
10/17/2023 19:30:00,Gay Grimaces,Limoncellhoes,2,1,0.4899104710447812,0.4421184360352669
10/17/2023 19:50:00,Limoncellhoes,Coochie Monsters,2,3,0.5079386770612647,0.2951401441311405
10/17/2023 19:50:00,The Grey Agenda,Booooo Bs,0,6,0.5095505871416128,0.3647956553373124
10/24/2023 19:10:00,Limoncellhoes,Booooo Bs,1,4,0.48789266748033483,0.39342188200591555
10/24/2023 19:10:00,The Grey Agenda,Gay Grimaces,4,1,0.5154947599889339,0.36626253589974606
10/24/2023 19:30:00,Coochie Monsters,Booooo Bs,3,2,0.5109488074941084,0.5993206824635811
10/24/2023 19:30:00,Red for Filth,Limoncellhoes,2,3,0.49070659046621085,0.3314908045721165
10/24/2023 19:50:00,Coochie Monsters,The Grey Agenda,3,2,0.5184997698173321,0.7890077795349552
10/24/2023 19:50:00,Gay Grimaces,Red for Filth,3,1,0.527064394843981,0.6793409984996966
11/7/2023 19:10:00,Gay Grimaces,The Grey Agenda,4,3,0.49584725831603826,0.5539057693716576
11/7/2023 19:10:00,Limoncellhoes,Red for Filth,5,1,0.5386945328391979,0.7184112446649862
11/7/2023 19:30:00,Booooo Bs,Limoncellhoes,1,3,0.48211169728019376,0.5942467137797328
11/7/2023 19:30:00,Coochie Monsters,Gay Grimaces,1,2,0.5129210687944246,0.7364405794773257
11/7/2023 19:50:00,Gay Grimaces,Limoncellhoes,2,4,0.5283430362139979,0.4817025729558717
1/31/2024 20:30:00,Naughty Nympho Navy,Green Beans,2,3,0.4938319177812311,0.4866335925823097
1/31/2024 20:50:00,H2-Ho,Mommy’s DisappointMints,3,1,0.49494417596665996,0.4857930854412074
1/31/2024 20:50:00,Stupid Cupids,The Orangynas,4,1,0.49783444114608005,0.5283553581218922
1/31/2024 21:10:00,"Be Gay, Do Lime",blU-Haul,5,2,0.5045713303619266,0.535026875826613
1/31/2024 21:10:00,Flint Flickers,Violent Violets,3,4,0.5162475385113448,0.568088291416302
2/7/2024 19:50:00,"Be Gay, Do Lime",Stupid Cupids,1,4,0.5106403612105933,0.5406913223324179
2/7/2024 19:50:00,Naughty Nympho Navy,H2-Ho,3,4,0.49187986202636425,0.46491283193972716
2/7/2024 20:10:00,Green Beans,Flint Flickers,3,3,0.5469425856144833,0.5688265604567149
2/7/2024 20:10:00,The Orangynas,Violent Violets,4,2,0.4710326769315759,0.4527102547673396
2/7/2024 20:30:00,Mommy’s DisappointMints,Naughty Nympho Navy,4,3,0.5402613656766473,0.4907752116431697
2/7/2024 20:30:00,Stupid Cupids,blU-Haul,1,3,0.49417028548828473,0.63106597785153
2/7/2024 20:50:00,The Orangynas,Green Beans,2,3,0.4943805408676315,0.4254726063194629
2/7/2024 20:50:00,Violent Violets,"Be Gay, Do Lime",6,2,0.5195896096435095,0.39684495646301454
2/7/2024 21:10:00,blU-Haul,H2-Ho,1,4,0.4731240804702616,0.46925139081599193
2/7/2024 21:10:00,Flint Flickers,Mommy’s DisappointMints,4,3,0.46031230920474653,0.5075654870399304
2/14/2024 19:50:00,Flint Flickers,Naughty Nympho Navy,4,2,0.597934552159146,0.5797805144689451
2/14/2024 19:50:00,Stupid Cupids,Green Beans,4,1,0.47257977775680504,0.4752774375852094
2/14/2024 20:10:00,"Be Gay, Do Lime",Mommy’s DisappointMints,2,3,0.5074411956858836,0.522382618318545
2/14/2024 20:10:00,The Orangynas,H2-Ho,1,4,0.4591016635090956,0.3628665751257458
2/14/2024 20:30:00,blU-Haul,Naughty Nympho Navy,2,2,0.5694972941630626,0.571708153982427
2/14/2024 20:30:00,Violent Violets,Stupid Cupids,4,2,0.5302039061148934,0.3977340431560805
2/14/2024 20:50:00,Green Beans,"Be Gay, Do Lime",3,3,0.5298325507263772,0.5747634822138366
2/14/2024 20:50:00,H2-Ho,Flint Flickers,7,2,0.4973975498378457,0.5771709447039284
2/14/2024 21:10:00,Mommy’s DisappointMints,The Orangynas,4,2,0.5308253269930467,0.5646464907321039
2/14/2024 21:10:00,Violent Violets,blU-Haul,3,2,0.5492734191471151,0.5745564519540898
2/21/2024 19:50:00,Green Beans,blU-Haul,2,3,0.5458334859182167,0.5731851483294645
2/21/2024 19:50:00,The Orangynas,Flint Flickers,0,5,0.4555610717691308,0.3808283987663309
2/21/2024 20:10:00,H2-Ho,"Be Gay, Do Lime",4,1,0.5251677682724328,0.7076988947577326
2/21/2024 20:10:00,Mommy’s DisappointMints,Stupid Cupids,3,2,0.5245806151485155,0.46862346618019096
2/21/2024 20:30:00,Green Beans,Violent Violets,3,3,0.45577080487561844,0.4218353417416449
2/21/2024 20:30:00,Naughty Nympho Navy,The Orangynas,1,3,0.46790117035956386,0.563437816114699
2/21/2024 20:50:00,blU-Haul,Flint Flickers,1,3,0.45879704220813544,0.43232848080299907
2/21/2024 20:50:00,Stupid Cupids,H2-Ho,0,3,0.455347839927142,0.32694920367570085
2/21/2024 21:10:00,"Be Gay, Do Lime",Naughty Nympho Navy,0,5,0.5489595379954213,0.5655541518252455
2/21/2024 21:10:00,Violent Violets,Mommy’s DisappointMints,2,4,0.49123563473224446,0.5158894974161314
2/28/2024 19:50:00,"Be Gay, Do Lime",The Orangynas,5,0,0.5166350296323822,0.47636741010202116
2/28/2024 19:50:00,Stupid Cupids,Flint Flickers,2,3,0.45240979283313626,0.4102589291728468
2/28/2024 20:10:00,Mommy’s DisappointMints,blU-Haul,4,0,0.5474027074707473,0.643256986490692
2/28/2024 20:10:00,Naughty Nympho Navy,Violent Violets,3,5,0.4277314600713112,0.4005469929927182
2/28/2024 20:30:00,Flint Flickers,"Be Gay, Do Lime",4,1,0.5426272776257917,0.674933322637762
2/28/2024 20:30:00,H2-Ho,Green Beans,1,3,0.5157282009922949,0.722859728061417
2/28/2024 20:50:00,blU-Haul,The Orangynas,2,3,0.5034104840202571,0.5750280413097694
2/28/2024 20:50:00,Naughty Nympho Navy,Stupid Cupids,3,3,0.4782001755785046,0.42080064068694617
2/28/2024 21:10:00,H2-Ho,Violent Violets,4,1,0.49685043124330946,0.6175825047581359
2/28/2024 21:10:00,Mommy’s DisappointMints,Green Beans,4,0,0.5248261634043815,0.5733686782519518
3/6/2024 19:50:00,"Be Gay, Do Lime",blU-Haul,1,3,0.526093239777162,0.5149347907019675
3/6/2024 19:50:00,The Orangynas,Naughty Nympho Navy,3,4,0.5476745937199905,0.4693383689159704
3/6/2024 20:10:00,Flint Flickers,Stupid Cupids,4,1,0.5798142309697989,0.6642316084516618
3/6/2024 20:10:00,Mommy’s DisappointMints,Naughty Nympho Navy,2,3,0.5380641523828654,0.7177891082015118
3/6/2024 20:30:00,H2-Ho,blU-Haul,4,3,0.5509325440241029,0.7415204491417845
3/6/2024 20:30:00,Violent Violets,Green Beans,4,3,0.5190065100415648,0.5090730726277715
3/6/2024 20:50:00,H2-Ho,Violent Violets,5,2,0.4953836426697843,0.6645110073143243
3/6/2024 20:50:00,Naughty Nympho Navy,Flint Flickers,2,4,0.4732166187161798,0.32229876203706087
3/6/2024 21:10:00,H2-Ho,Flint Flickers,4,3,0.5125778843668172,0.5549141317245063
4/10/2024 19:20:00,Blue is the Warmest Dodgeball,Blue-Footed Boobies,4,1,0.478665434942118,0.5407496377938068
4/10/2024 19:20:00,Red Dyke District,Glacial Gushers,0,5,0.5013587917116865,0.5293897425843833
4/10/2024 19:40:00,Inti-MINT-cy issues,Let's Have a Kiwi,3,2,0.5199143457887274,0.5744593125532126
4/10/2024 19:40:00,Purple Pounders,Honey Nut Queerios,4,3,0.5051478083218326,0.43255826992619134
4/10/2024 20:00:00,Blue-Footed Boobies,Lemon Drop Thots,3,3,0.49996274926839485,0.3927358257002249
4/10/2024 20:00:00,Bubblegum Bitches,Blue is the Warmest Dodgeball,2,3,0.5103226904467922,0.4724534331976655
4/10/2024 20:20:00,Glacial Gushers,Honey Nut Queerios,3,3,0.5040254588996984,0.4387864329967128
4/10/2024 20:20:00,Let's Have a Kiwi,Red Dyke District,2,3,0.496264748927579,0.5774291676062655
4/10/2024 20:40:00,Bubblegum Bitches,Inti-MINT-cy issues,0,6,0.4539529549510269,0.38096125028905303
4/10/2024 20:40:00,Lemon Drop Thots,Purple Pounders,3,4,0.45987566381430095,0.4623675556482466
4/17/2024 19:20:00,Honey Nut Queerios,Let's Have a Kiwi,4,3,0.5119863619575672,0.5957089133338296
4/17/2024 19:20:00,Red Dyke District,Bubblegum Bitches,3,2,0.520248420340135,0.49742288890569447
4/17/2024 19:40:00,Inti-MINT-cy issues,Blue-Footed Boobies,4,2,0.522116961831829,0.7186946456957392
4/17/2024 19:40:00,Purple Pounders,Glacial Gushers,1,5,0.5941222431127295,0.5792912488996971
4/17/2024 20:00:00,Bubblegum Bitches,Honey Nut Queerios,2,2,0.45491272483883133,0.34443139124612854
4/17/2024 20:00:00,Lemon Drop Thots,Blue is the Warmest Dodgeball,4,1,0.4798352080321914,0.4246760656466401
4/17/2024 20:20:00,Blue-Footed Boobies,Red Dyke District,5,3,0.48628907956186246,0.42770985879580103
4/17/2024 20:20:00,Let's Have a Kiwi,Glacial Gushers,0,6,0.45997705009577877,0.37908616292682557
4/17/2024 20:40:00,Blue is the Warmest Dodgeball,Purple Pounders,2,3,0.4294825066039555,0.49224572320644777
4/17/2024 20:40:00,Lemon Drop Thots,Inti-MINT-cy issues,0,6,0.45493907091738106,0.3723424503400987
4/24/2024 19:20:00,Glacial Gushers,Bubblegum Bitches,3,4,0.4952981327471955,0.6697259112695534
4/24/2024 19:20:00,Red Dyke District,Lemon Drop Thots,3,2,0.53075238053294,0.4200130868565991
4/24/2024 19:40:00,Honey Nut Queerios,Blue-Footed Boobies,5,2,0.48866184887160535,0.623168088036076
4/24/2024 19:40:00,Inti-MINT-cy issues,Purple Pounders,6,1,0.4423630182187595,0.6660529241499861
4/24/2024 20:00:00,Blue is the Warmest Dodgeball,Red Dyke District,3,3,0.4656232713751668,0.5318077218778546
4/24/2024 20:00:00,Bubblegum Bitches,Let's Have a Kiwi,3,3,0.5788635814090327,0.5701361466770013
4/24/2024 20:20:00,Blue-Footed Boobies,Glacial Gushers,2,3,0.5578975453092965,0.3464122551603654
4/24/2024 20:20:00,Lemon Drop Thots,Honey Nut Queerios,1,5,0.47302515459568145,0.36704321016459857
4/24/2024 20:40:00,Inti-MINT-cy issues,Blue is the Warmest Dodgeball,5,0,0.5214797647351995,0.747929584691982
4/24/2024 20:40:00,Purple Pounders,Let's Have a Kiwi,1,5,0.6188481376870357,0.6136479927829378
5/1/2024 19:20:00,Inti-MINT-cy issues,Honey Nut Queerios,4,1,0.5278369922014023,0.6315875763994006
5/1/2024 19:20:00,Let's Have a Kiwi,Blue-Footed Boobies,3,2,0.47021748400063856,0.5689270412913557
5/1/2024 19:40:00,Blue is the Warmest Dodgeball,Glacial Gushers,2,6,0.530427483243891,0.3747477403836892
5/1/2024 19:40:00,Purple Pounders,Bubblegum Bitches,3,2,0.5938859739809209,0.49014941113937516
5/1/2024 20:00:00,Lemon Drop Thots,Let's Have a Kiwi,1,4,0.4861140324748805,0.453232415627178
5/1/2024 20:00:00,Red Dyke District,Inti-MINT-cy issues,2,3,0.48980902803409065,0.18985254471479318
5/1/2024 20:20:00,Blue-Footed Boobies,Bubblegum Bitches,6,1,0.49635352986244935,0.43485229805090775
5/1/2024 20:20:00,Honey Nut Queerios,Blue is the Warmest Dodgeball,4,0,0.4933319910652645,0.6830122001712781
5/1/2024 20:40:00,Glacial Gushers,Lemon Drop Thots,4,1,0.5036736014219039,0.7164941848839436
5/1/2024 20:40:00,Red Dyke District,Purple Pounders,2,6,0.410861255645787,0.46946106075717664
5/8/2024 19:20:00,Honey Nut Queerios,Red Dyke District,7,0,0.4926211958558092,0.7295766564172007
5/8/2024 19:20:00,Purple Pounders,Blue-Footed Boobies,4,2,0.6134594894586023,0.5962868410456275
5/8/2024 19:40:00,Blue is the Warmest Dodgeball,Bubblegum Bitches,1,4,0.5210735205590405,0.5172396694665906
5/8/2024 19:40:00,Let's Have a Kiwi,Inti-MINT-cy issues,2,3,0.44157301744182287,0.22824995159160966
5/8/2024 20:00:00,Glacial Gushers,Red Dyke District,6,0,0.46879771951478155,0.7579505340634547
5/8/2024 20:00:00,Lemon Drop Thots,Blue-Footed Boobies,4,3,0.49067377903042936,0.47075607116232726
5/8/2024 20:20:00,Honey Nut Queerios,Purple Pounders,3,2,0.40468115404596383,0.6224688540754594
5/8/2024 20:20:00,Let's Have a Kiwi,Blue is the Warmest Dodgeball,2,4,0.4709569640470685,0.6680244233193026
5/8/2024 20:40:00,Bubblegum Bitches,Lemon Drop Thots,2,3,0.47675038980321327,0.5252475854052476
5/8/2024 20:40:00,Glacial Gushers,Inti-MINT-cy issues,2,3,0.4182269691386114,0.3421944315668798
5/15/2024 19:50:00,Honey Nut Queerios,Glacial Gushers,2,4,0.5561896539527408,0.5448130359757333
5/15/2024 19:50:00,Red Dyke District,Let's Have a Kiwi,2,3,0.5304158826682157,0.38146615718637333
5/15/2024 20:10:00,Inti-MINT-cy issues,Bubblegum Bitches,5,2,0.5948334509081175,0.8676928284032794
5/15/2024 20:10:00,Purple Pounders,Lemon Drop Thots,4,3,0.5571299671475799,0.6128006371378906
5/15/2024 20:30:00,Blue-Footed Boobies,Blue is the Warmest Dodgeball,7,2,0.44701361452466926,0.4731880381667354
5/15/2024 20:30:00,Let's Have a Kiwi,Honey Nut Queerios,2,4,0.47274343119570467,0.3295179466765317
5/15/2024 20:50:00,Bubblegum Bitches,Red Dyke District,2,4,0.48122144145690826,0.5609379672718955
5/15/2024 20:50:00,Glacial Gushers,Purple Pounders,3,3,0.36527092269094497,0.6423184148321089
5/15/2024 21:10:00,Blue is the Warmest Dodgeball,Lemon Drop Thots,1,4,0.5029238258963336,0.4341860711277953
5/15/2024 21:10:00,Blue-Footed Boobies,Inti-MINT-cy issues,3,4,0.38542712164058524,0.1416230224459808
7/10/2024 19:20:00,bratz,Royal Pain in the Ice,1,3,0.5120159548284305,0.5018224454553957
7/10/2024 19:20:00,Idina Mintzels,S*xual Tealing,3,3,0.5236038347827603,0.6102960211452815
7/10/2024 19:40:00,GAYtors,Big Eggplant Energy,1,2,0.5053094499699086,0.5784816601890403
7/10/2024 19:40:00,the dodgefathers,C*Mquats,2,2,0.4928453468136211,0.4073102578759579
7/10/2024 20:00:00,Ice To Go,Midnight Snack,0,6,0.5142240099409913,0.5412299975625625
7/10/2024 20:00:00,Red For Filth,Idina Mintzels,5,0,0.5105711256111479,0.5126471225925996
7/10/2024 20:20:00,Big Eggplant Energy,Royal Pain in the Ice,2,2,0.48923524630584564,0.45409817658635165
7/10/2024 20:20:00,S*xual Tealing,Citrus on My Face,2,3,0.49003813614593766,0.389778370384395
7/10/2024 20:40:00,C*Mquats,bratz,3,1,0.5137890612689412,0.6270329770521206
7/10/2024 20:40:00,Midnight Snack,GAYtors,4,0,0.52004953270338,0.6176347264250007
7/17/2024 19:20:00,Citrus on My Face,Red For Filth,0,5,0.5087791410938378,0.4675134567221127
7/17/2024 19:20:00,Idina Mintzels,C*Mquats,0,4,0.4856695391079083,0.4087944544623953
7/17/2024 19:40:00,GAYtors,Ice To Go,2,2,0.4657886780078544,0.4254203803586742
7/17/2024 19:40:00,Royal Pain in the Ice,the dodgefathers,3,2,0.47281875357623493,0.5312948360306471
7/17/2024 20:00:00,Big Eggplant Energy,bratz,1,3,0.4807856637613018,0.5664888772277802
7/17/2024 20:00:00,Midnight Snack,S*xual Tealing,4,1,0.5180593529931141,0.6979427862667922
7/17/2024 20:10:00,bratz,the dodgefathers,3,2,0.5015079922425457,0.4950767648294024
7/17/2024 20:20:00,C*Mquats,Citrus on My Face,2,2,0.4949274427986331,0.5973851565849935
7/17/2024 20:20:00,Royal Pain in the Ice,Idina Mintzels,3,2,0.5043717386793608,0.5760142949131499
7/17/2024 20:40:00,Red For Filth,Midnight Snack,2,2,0.511492200952373,0.4996802839770241
7/17/2024 20:40:00,S*xual Tealing,GAYtors,2,2,0.4905978552791435,0.45577019074891123
7/17/2024 20:50:00,Big Eggplant Energy,Ice To Go,0,5,0.4789752522423308,0.40897024334784904
7/24/2024 19:30:00,Ice To Go,S*xual Tealing,1,3,0.5181553782405883,0.6487934679955852
7/24/2024 19:30:00,Idina Mintzels,bratz,3,1,0.47010969758264004,0.4601975184701259
7/24/2024 19:50:00,Big Eggplant Energy,the dodgefathers,2,3,0.4936638964367501,0.45270978213864527
7/24/2024 19:50:00,GAYtors,Red For Filth,0,3,0.48037051048387347,0.289376861272334
7/24/2024 20:10:00,bratz,Citrus on My Face,0,4,0.5009507384821746,0.39232412056058397
7/24/2024 20:10:00,Royal Pain in the Ice,Midnight Snack,0,4,0.5185087777887356,0.39007190659236723
7/24/2024 20:30:00,C*Mquats,GAYtors,2,3,0.5289678402670658,0.6995431675117689
7/24/2024 20:30:00,Red For Filth,Ice To Go,2,2,0.5047762636855192,0.6823366307386384
7/24/2024 20:50:00,Big Eggplant Energy,S*xual Tealing,4,0,0.4852794021283438,0.3964672093576386
7/24/2024 20:50:00,the dodgefathers,Idina Mintzels,5,0,0.5158079812393369,0.4705463834655576
7/24/2024 21:10:00,Citrus on My Face,Royal Pain in the Ice,1,2,0.4964402824364508,0.5619815459374432
7/24/2024 21:10:00,Midnight Snack,C*Mquats,2,2,0.49940529818542406,0.6167234953110705
7/31/2024 19:30:00,Idina Mintzels,Citrus on My Face,1,3,0.47178281915221204,0.37449454806317695
7/31/2024 19:30:00,Royal Pain in the Ice,Ice To Go,3,2,0.5197123044739591,0.5329704187639991
7/31/2024 19:50:00,bratz,GAYtors,2,2,0.5126341728252989,0.43617324218185166
7/31/2024 19:50:00,S*xual Tealing,Red For Filth,0,4,0.47858721892980566,0.23839975030685998
7/31/2024 20:10:00,Ice To Go,C*Mquats,2,3,0.4903566591425106,0.39503338757251266
7/31/2024 20:10:00,Idina Mintzels,Big Eggplant Energy,4,1,0.5192281385434511,0.4765466314295017
7/31/2024 20:30:00,Citrus on My Face,the dodgefathers,0,4,0.5125122228513942,0.5726317891978996
7/31/2024 20:30:00,Midnight Snack,bratz,4,1,0.48856159587985565,0.7745239538452889
7/31/2024 20:50:00,C*Mquats,S*xual Tealing,2,3,0.5350182182857379,0.7278958144292436
7/31/2024 20:50:00,GAYtors,Royal Pain in the Ice,1,3,0.4714336705063496,0.3800961976616718
7/31/2024 21:10:00,Big Eggplant Energy,Red For Filth,2,3,0.4640385414246779,0.2000553635102511
7/31/2024 21:10:00,the dodgefathers,Midnight Snack,2,2,0.5013846946010637,0.3462724357994648
8/7/2024 19:30:00,Citrus on My Face,Big Eggplant Energy,1,6,0.5573730517722155,0.6620854545106585
8/7/2024 19:30:00,Red For Filth,C*Mquats,2,2,0.5135700837209425,0.6396041992489805
8/7/2024 19:50:00,bratz,S*xual Tealing,2,2,0.5115270970319078,0.4613003736695078
8/7/2024 19:50:00,Midnight Snack,Idina Mintzels,2,3,0.5149969482216994,0.7504438132063079
8/7/2024 20:10:00,Royal Pain in the Ice,Red For Filth,0,2,0.5233744940806695,0.3922202666445929
8/7/2024 20:10:00,the dodgefathers,Ice To Go,3,1,0.5208112964840421,0.6036639393753479
8/7/2024 20:30:00,Citrus on My Face,Midnight Snack,2,2,0.5251648025661171,0.2888263705253995
8/7/2024 20:30:00,Idina Mintzels,GAYtors,1,4,0.49697086134589835,0.5606023041838142
8/7/2024 20:50:00,Big Eggplant Energy,C*Mquats,1,5,0.4482622031446992,0.3448538952750218
8/7/2024 20:50:00,bratz,Ice To Go,2,2,0.5274257664445846,0.4390174709891073
8/7/2024 21:10:00,GAYtors,the dodgefathers,2,2,0.506199461559999,0.37080705518924184
8/7/2024 21:10:00,S*xual Tealing,Royal Pain in the Ice,2,3,0.46786525400029,0.3422603497771361
8/14/2024 19:30:00,Ice To Go,Citrus on My Face,1,5,0.4832465818798745,0.471643439171104
8/14/2024 19:30:00,Red For Filth,bratz,3,1,0.513853361907809,0.8133745708912242
8/14/2024 19:50:00,C*Mquats,Royal Pain in the Ice,3,3,0.45757604584692924,0.5297508249288675
8/14/2024 19:50:00,S*xual Tealing,the dodgefathers,3,2,0.49163977056805175,0.30312111204724645
8/14/2024 20:10:00,Ice To Go,Idina Mintzels,3,2,0.48487614263789836,0.4568450389970755
8/14/2024 20:10:00,Midnight Snack,Big Eggplant Energy,3,2,0.5409999428901892,0.748859436451341
8/14/2024 20:30:00,GAYtors,Citrus on My Face,5,1,0.4995233656664049,0.47154246147608575
8/14/2024 20:30:00,the dodgefathers,Red For Filth,2,3,0.4796009502086025,0.30972706748656564
8/14/2024 20:50:00,bratz,C*Mquats,1,4,0.477394527281344,0.26381801859379217
8/14/2024 20:50:00,S*xual Tealing,Idina Mintzels,4,0,0.518789881002915,0.5301686517724254
8/14/2024 21:10:00,GAYtors,Midnight Snack,3,1,0.4951195033399354,0.36121460422865004
8/14/2024 21:10:00,Royal Pain in the Ice,Big Eggplant Energy,3,1,0.5884295221445006,0.7036726588424699
8/21/2024 19:30:00,Ice To Go,GAYtors,1,3,0.5006365560040689,0.3340695848425141
8/21/2024 19:30:00,Red For Filth,Citrus on My Face,3,1,0.5210594890873693,0.7843639922212723
8/21/2024 19:50:00,bratz,Big Eggplant Energy,1,3,0.5522037492042077,0.48527915740690797
8/21/2024 19:50:00,the dodgefathers,Royal Pain in the Ice,0,6,0.4469458039865485,0.42761848145399234
8/21/2024 20:10:00,C*Mquats,Idina Mintzels,3,2,0.5290455637053963,0.7642227821292358
8/21/2024 20:10:00,Midnight Snack,Ice To Go,1,4,0.5042244633457127,0.7215602071681251
8/21/2024 20:30:00,Big Eggplant Energy,GAYtors,2,3,0.44105610643000753,0.2916633418324556
8/21/2024 20:30:00,Citrus on My Face,S*xual Tealing,3,1,0.4947511260654586,0.4613330103926705
8/21/2024 20:50:00,Idina Mintzels,Red For Filth,1,4,0.45602043596682906,0.1379846724955362
8/21/2024 20:50:00,Royal Pain in the Ice,bratz,4,0,0.5370941376062398,0.8134959495569637
8/21/2024 21:10:00,C*Mquats,the dodgefathers,3,1,0.5517378934649997,0.6570915931871734
8/21/2024 21:10:00,S*xual Tealing,Midnight Snack,1,2,0.5009051734124086,0.37867638703546563
10/9/2024 18:40:00,Clementops,Froggays,3,2,0.4812823547972387,0.3872583223511702
10/9/2024 18:40:00,Violetly Gay,Wet Dreams,2,2,0.5086712262310489,0.5739174630727811
10/9/2024 19:00:00,Cardinal Sinners,Winona Ride Her,3,3,0.5146352144159783,0.5466651956185813
10/9/2024 19:00:00,The Blue Ballers,Urine Trouble,4,1,0.4832705766488675,0.40248902253176727
10/9/2024 19:20:00,Naughty Hotties,Twerkoise,2,1,0.47925922828005785,0.4243394708547781
