Time,Team1,Team2,Score1,Score2,P_TrueSkill(team1 wins),P_ELO(team1 wins)
10/9/2024 19:20:00,Queermint,Lime and Punishment,6,0,0.4930109503434384,0.5134169186206118
10/9/2024 19:40:00,Urine Trouble,Froggays,0,4,0.5040814629074883,0.4668829271050583
10/9/2024 19:40:00,Winona Ride Her,Violetly Gay,1,3,0.5076274201193888,0.4784344121858004
10/9/2024 20:00:00,Clementops,Wet Dreams,3,2,0.5182039002180138,0.4854510728064607
10/9/2024 20:00:00,The Blue Ballers,Lime and Punishment,4,1,0.4829779045875991,0.5582316901909085
10/9/2024 20:20:00,Queermint,Naughty Hotties,2,2,0.5051363364988872,0.5482914591817296
10/9/2024 20:20:00,Twerkoise,Cardinal Sinners,3,2,0.5006144667912378,0.46133574573613706
10/9/2024 20:40:00,Cuntolina Panthers,Washington Formanders,2,1,0.49247054407916424,0.37465342803146245
10/9/2024 20:40:00,Mean Gay Packers,Vikinks,3,1,0.5039023954452965,0.5987287871034592
10/9/2024 21:00:00,Cuntolina Panthers,Vikinks,3,1,0.5198191990042099,0.662275374349048
10/9/2024 21:00:00,Edgar Allen Hoes,Gay Sharks,3,2,0.5030023069899177,0.539132318112008
10/9/2024 21:20:00,Mean Gay Packers,Gay Sharks,4,1,0.5189917891793044,0.674512116222128
10/9/2024 21:20:00,Washington Formanders,Edgar Allen Hoes,0,4,0.48709250524539033,0.5584271225635844
10/16/2024 18:40:00,Lime and Punishment,Urine Trouble,1,4,0.5002836247332194,0.4674585794386009
10/16/2024 18:40:00,Naughty Hotties,The Blue Ballers,3,1,0.5038935334202715,0.4538858486743059
10/16/2024 19:00:00,Cardinal Sinners,Queermint,3,2,0.5009437357666203,0.4940758919111224
10/16/2024 19:00:00,Violetly Gay,Twerkoise,2,3,0.4700664786188693,0.5287182226810317
10/16/2024 19:20:00,Froggays,Lime and Punishment,4,1,0.49741013601009937,0.6917076107819053
10/16/2024 19:20:00,Wet Dreams,Winona Ride Her,2,2,0.47937327788362294,0.48254730843675503
10/16/2024 19:40:00,Clementops,Urine Trouble,3,1,0.5227338348046482,0.5313360108189132
10/16/2024 19:40:00,The Blue Ballers,Cardinal Sinners,1,3,0.4747406597580529,0.41986775387417585
10/16/2024 20:00:00,Froggays,Naughty Hotties,1,4,0.508511643577705,0.5392968403499713
10/16/2024 20:00:00,Queermint,Violetly Gay,3,3,0.49751103128809876,0.46406169385645724
10/16/2024 20:20:00,Twerkoise,Wet Dreams,3,1,0.5524182197292525,0.620346380268359
10/16/2024 20:20:00,Winona Ride Her,Clementops,4,0,0.470572135021316,0.4475377838663058
10/16/2024 20:40:00,Vikinks,Gay Sharks,2,2,0.5144048433867802,0.49063613143615625
10/16/2024 20:40:00,Washington Formanders,Mean Gay Packers,1,3,0.512525881300412,0.38322402119817184
10/16/2024 21:00:00,Cuntolina Panthers,Edgar Allen Hoes,1,4,0.48876780135824216,0.5047374769289945
10/16/2024 21:00:00,Washington Formanders,Vikinks,0,4,0.5244934595022442,0.6072304164012274
10/16/2024 21:20:00,Gay Sharks,Cuntolina Panthers,3,1,0.46913651610199725,0.32754501759530685
10/16/2024 21:20:00,Mean Gay Packers,Edgar Allen Hoes,3,1,0.4745532968629906,0.49477386517775346
10/23/2024 18:40:00,Cardinal Sinners,Froggays,2,2,0.5132759096222002,0.5826013348277722
10/23/2024 18:40:00,Wet Dreams,Queermint,3,4,0.5028635835200346,0.4182098367866416
10/23/2024 19:00:00,Naughty Hotties,Urine Trouble,3,1,0.488587916834402,0.6361884259958056
10/23/2024 19:00:00,Violetly Gay,The Blue Ballers,1,5,0.49850730455128517,0.617251837362285
10/23/2024 19:20:00,Queermint,Winona Ride Her,3,5,0.5226152079780138,0.5373348819181162
10/23/2024 19:20:00,Twerkoise,Clementops,4,0,0.5153799751076347,0.6428089519070619
10/23/2024 19:40:00,Froggays,Violetly Gay,3,2,0.517971580813412,0.5117901762930204
10/23/2024 19:40:00,Lime and Punishment,Naughty Hotties,2,1,0.5111142101632533,0.22900690928162368
10/23/2024 20:00:00,The Blue Ballers,Wet Dreams,1,3,0.5235603032570908,0.6075823064205133
10/23/2024 20:00:00,Urine Trouble,Cardinal Sinners,3,1,0.4937984319323957,0.32223280179106506
10/23/2024 20:20:00,Clementops,Lime and Punishment,1,3,0.5221413064005628,0.585773542548426
10/23/2024 20:20:00,Winona Ride Her,Twerkoise,5,0,0.46090322631509273,0.3892290322605406
10/23/2024 20:40:00,Gay Sharks,Washington Formanders,2,2,0.469105932299137,0.558487189572464
10/23/2024 20:40:00,Vikinks,Cuntolina Panthers,0,3,0.4759418912424947,0.469013877388757
10/23/2024 21:00:00,Edgar Allen Hoes,Washington Formanders,2,3,0.5237709475405644,0.6953925292160085
10/23/2024 21:00:00,Gay Sharks,Mean Gay Packers,3,3,0.5032225696838045,0.23969163676094704
10/23/2024 21:20:00,Edgar Allen Hoes,Vikinks,3,3,0.5258590897796228,0.6494852179094383
10/23/2024 21:20:00,Mean Gay Packers,Cuntolina Panthers,2,2,0.48142989609399534,0.6507320696227934
11/13/2024 18:40:00,Lime and Punishment,Winona Ride Her,0,6,0.5017535529168358,0.2860850491225614
11/13/2024 18:40:00,Urine Trouble,Twerkoise,1,4,0.46367144311805525,0.3774132454618884
11/13/2024 19:00:00,Froggays,Queermint,2,4,0.5062246881464082,0.5523357599555724
11/13/2024 19:00:00,Naughty Hotties,Wet Dreams,2,1,0.5255485644898272,0.6044486988543248
11/13/2024 19:20:00,Cardinal Sinners,Violetly Gay,3,1,0.5337510947414643,0.5738125975942846
11/13/2024 19:20:00,Clementops,The Blue Ballers,2,2,0.5369586641625949,0.42620902022042356
11/13/2024 19:40:00,Urine Trouble,Winona Ride Her,0,4,0.49954877726465824,0.2782341320539509
11/13/2024 19:40:00,Wet Dreams,Lime and Punishment,4,1,0.4617944813412888,0.5753791574467902
11/13/2024 20:00:00,Twerkoise,Froggays,2,3,0.5192800674213883,0.6175071026109313
11/13/2024 20:00:00,Violetly Gay,Naughty Hotties,3,1,0.48134198274988077,0.35080733157364596
11/13/2024 20:20:00,Cardinal Sinners,Clementops,3,0,0.4963913138969785,0.6782199793094248
11/13/2024 20:20:00,Queermint,The Blue Ballers,3,2,0.5154895290272017,0.575687987754337
11/13/2024 20:40:00,Mean Gay Packers,Washington Formanders,1,2,0.4644044052097841,0.7320450741590258
11/13/2024 20:40:00,Vikinks,Edgar Allen Hoes,3,1,0.4913078508315907,0.3610893128149452
11/13/2024 21:00:00,Cuntolina Panthers,Mean Gay Packers,2,2,0.5071300007167759,0.4307482617408741
11/13/2024 21:00:00,Washington Formanders,Gay Sharks,0,5,0.5438416020401381,0.5659887572804063
11/13/2024 21:20:00,Edgar Allen Hoes,Cuntolina Panthers,2,3,0.5039039732244444,0.3637501785468325
11/13/2024 21:20:00,Gay Sharks,Vikinks,1,3,0.49526298472900876,0.5962230492582661
11/20/2024 18:40:00,Violetly Gay,Clementops,3,2,0.46065794750074474,0.625691466521969
11/20/2024 18:40:00,Wet Dreams,Cardinal Sinners,2,5,0.459185946310503,0.3753934448323297
11/20/2024 19:00:00,The Blue Ballers,Froggays,2,3,0.45309654943599975,0.38850960211202895
11/20/2024 19:00:00,Winona Ride Her,Naughty Hotties,1,3,0.5122099498993876,0.6404472162192532
11/20/2024 19:20:00,Lime and Punishment,Twerkoise,2,3,0.48016567078607236,0.28037425161473334
11/20/2024 19:20:00,Queermint,Urine Trouble,3,2,0.5271039690540608,0.6447473535736598
11/20/2024 19:40:00,Froggays,Clementops,3,2,0.547269978238787,0.7033015662293862
11/20/2024 19:40:00,Wet Dreams,Violetly Gay,3,1,0.47792878779054393,0.4378493778923079
11/20/2024 20:00:00,Twerkoise,Naughty Hotties,1,3,0.5460276304761422,0.49190333190937907
11/20/2024 20:00:00,Winona Ride Her,Cardinal Sinners,3,0,0.49566431726087773,0.49524638794585685
11/20/2024 20:20:00,Lime and Punishment,Queermint,0,7,0.45526795354488997,0.2753484836212325
11/20/2024 20:20:00,Urine Trouble,The Blue Ballers,2,2,0.510994992234203,0.4806579244009467
11/20/2024 20:40:00,Gay Sharks,Mean Gay Packers,2,2,0.48846364904019235,0.33218033180321965
11/20/2024 20:40:00,Washington Formanders,Edgar Allen Hoes,3,2,0.5473456961587516,0.5346780604127901
11/20/2024 21:00:00,Edgar Allen Hoes,Gay Sharks,0,3,0.4896344936577928,0.3938681760137754
11/20/2024 21:00:00,Vikinks,Cuntolina Panthers,3,1,0.47873020705423536,0.43410081895083663
11/20/2024 21:20:00,Cuntolina Panthers,Washington Formanders,4,1,0.46088418996454755,0.5509316620916388
11/20/2024 21:20:00,Vikinks,Mean Gay Packers,3,1,0.5023275403931952,0.4808386534102466
12/4/2024 18:40:00,Cardinal Sinners,Clementops,0,2,0.5179517572216426,0.7451594554358186
12/4/2024 18:40:00,Wet Dreams,Urine Trouble,2,0,0.48439227768430315,0.5885805235357113
12/4/2024 19:00:00,Twerkoise,Lime and Punishment,2,0,0.54258025406955,0.7241014850468049
12/4/2024 19:00:00,Violetly Gay,The Blue Ballers,2,0,0.5073422998887678,0.5768410352194417
12/4/2024 19:20:00,Froggays,Clementops,0,2,0.568962022871188,0.6422256098265309
12/4/2024 19:20:00,Naughty Hotties,Wet Dreams,2,0,0.5251350547184124,0.6090564861106428
12/4/2024 19:40:00,Queermint,Twerkoise,2,0,0.5022172916088251,0.5087255049684037
12/4/2024 19:40:00,Winona Ride Her,Violetly Gay,0,2,0.5176138942027351,0.6603529991792746
12/4/2024 20:00:00,Naughty Hotties,Clementops,2,0,0.5033079423487572,0.6794699594418856
12/4/2024 20:00:00,Violetly Gay,Queermint,0,2,0.4487215369775517,0.4511631667645886
12/4/2024 20:20:00,Queermint,Naughty Hotties,2,0,0.5456800019811174,0.4747337468901579
12/4/2024 20:40:00,Cuntolina Panthers,Washington Formanders,2,0,0.4608986059089449,0.6534396091688859
12/4/2024 20:40:00,Mean Gay Packers,Edgar Allen Hoes,2,0,0.5151379028048113,0.6998075341394585
12/4/2024 21:00:00,Gay Sharks,Mean Gay Packers,0,2,0.49567901971986333,0.4410714241812073
12/4/2024 21:00:00,Vikinks,Cuntolina Panthers,0,2,0.47914688919563775,0.5117341986973117
12/4/2024 21:20:00,Cuntolina Panthers,Mean Gay Packers,2,0,0.5236830426170841,0.5474167191178563
2/2/2025 16:15:00,2 Girls 1 Train,Sixual Tension,3,3,0.5081939036741355,0.5970159277104672
2/2/2025 16:15:00,Big D (train) Energy,Reese's Pieces,3,0,0.5373790040067663,0.6548133097925672
2/2/2025 16:35:00,QTs,Sixual Tension,2,4,0.504167279270312,0.6850277111470431
2/2/2025 16:35:00,Reese's Pieces,PATH to Poundtown,0,5,0.4835103195928176,0.35433742897464793
2/2/2025 16:55:00,2 Girls 1 Train,Big D (train) Energy,2,5,0.47310521835696195,0.5133577342636643
2/2/2025 16:55:00,QTs,PATH to Poundtown,5,2,0.4943672573398239,0.5914372032292062
2/5/2025 19:00:00,My Chemical Throwmance,Dyke Dynasty,3,0,0.4514004502805917,0.3255684061751532
2/5/2025 19:00:00,Purple Pain,Red Light District,3,1,0.5164841183468731,0.5273148174130159
2/5/2025 19:20:00,Charcoochie,Macaroni in a Pot,4,0,0.4995344390503038,0.5020593935056006
2/5/2025 19:20:00,Ice Dykes,Mary Wannas,3,2,0.5203309658488549,0.6029413250199486
2/5/2025 19:40:00,Call Me Navy,Buns of Teal,1,3,0.4775079415307012,0.44613815025537995
2/5/2025 19:40:00,It's the cLIME,Pulp Friction,1,5,0.4968424517825621,0.4778331194861905
2/5/2025 20:00:00,Dyke Dynasty,Purple Pain,1,2,0.5150400645484655,0.4624569582028742
2/5/2025 20:00:00,Red Light District,Mary Wannas,3,2,0.5085248395974533,0.5647424525755143
2/5/2025 20:20:00,Ice Dykes,Buns of Teal,2,2,0.5020247555941054,0.4632085196832683
2/5/2025 20:20:00,My Chemical Throwmance,Charcoochie,3,1,0.47346145517450283,0.42599865397646886
2/5/2025 20:40:00,Macaroni in a Pot,It's the cLIME,0,6,0.5062868211251171,0.5470649042010541
2/5/2025 20:40:00,Pulp Friction,Call Me Navy,5,1,0.4946321424412748,0.5635434766015295
2/9/2025 16:15:00,Reese's Pieces,QTs,1,9,0.4901759181208608,0.16433129671706545
2/9/2025 16:15:00,Sixual Tension,Big D (train) Energy,3,2,0.47622496789197377,0.4547981756232426
2/9/2025 16:35:00,PATH to Poundtown,2 Girls 1 Train,5,0,0.5051733600740203,0.4976987557117819
2/9/2025 16:35:00,Sixual Tension,Reese's Pieces,8,0,0.5317209369877972,0.8012195587531367
2/9/2025 16:55:00,2 Girls 1 Train,QTs,4,3,0.49906778837308086,0.2594258505864415
2/9/2025 16:55:00,PATH to Poundtown,Big D (train) Energy,5,1,0.49245799683727626,0.5086184507278914
2/12/2025 19:00:00,Ice Dykes,Red Light District,5,1,0.5193029550233017,0.5659956983065764
2/12/2025 19:00:00,My Chemical Throwmance,Call Me Navy,1,2,0.4730821682033501,0.644381093089267
2/12/2025 19:20:00,Macaroni in a Pot,Buns of Teal,2,3,0.4742645793754402,0.2963957933577706
2/12/2025 19:20:00,Mary Wannas,Dyke Dynasty,1,3,0.4537294528759645,0.3895786619330484
2/12/2025 19:40:00,Charcoochie,Purple Pain,1,2,0.48763581307223913,0.42946091269040515
2/12/2025 19:40:00,Pulp Friction,Ice Dykes,2,2,0.45918818920579013,0.4500381571650765
2/12/2025 20:00:00,Dyke Dynasty,Red Light District,0,5,0.507885763590213,0.5744429813579579
2/12/2025 20:00:00,It's the cLIME,My Chemical Throwmance,0,4,0.5168156692556453,0.4230723270975897
2/12/2025 20:20:00,Call Me Navy,Macaroni in a Pot,2,1,0.5095702607700882,0.5860357582317195
2/12/2025 20:20:00,Mary Wannas,Charcoochie,0,3,0.474700844292928,0.364087021422664
2/12/2025 20:40:00,Buns of Teal,Pulp Friction,4,1,0.5372619100651461,0.5445964035953809
2/12/2025 20:40:00,Purple Pain,It's the cLIME,3,1,0.5245762573178493,0.6965476833961698
2/16/2025 16:15:00,PATH to Poundtown,Sixual Tension,3,4,0.48409070281823297,0.49509621641127805
2/16/2025 16:15:00,QTs,Big D (train) Energy,9,1,0.4667142431654119,0.6511099885180369
2/16/2025 16:35:00,QTs,Sixual Tension,3,1,0.4263546926569182,0.5182296259870004
2/16/2025 16:35:00,Reese's Pieces,2 Girls 1 Train,0,6,0.4559476082832435,0.255231096845375
2/16/2025 16:55:00,Big D (train) Energy,2 Girls 1 Train,0,10,0.47820760041915034,0.4138236073153798
2/16/2025 16:55:00,PATH to Poundtown,Reese's Pieces,5,2,0.4883931322722752,0.8451150047369708
2/19/2025 19:00:00,My Chemical Throwmance,Pulp Friction,5,0,0.46132559537968326,0.5188912895704284
2/19/2025 19:00:00,Purple Pain,Buns of Teal,2,2,0.46765410016417064,0.4840664059821021
2/19/2025 19:20:00,Ice Dykes,Dyke Dynasty,4,0,0.5062186552406894,0.6422474829954634
2/19/2025 19:20:00,Mary Wannas,Call Me Navy,4,1,0.46696640829763,0.3547384056052295
2/19/2025 19:40:00,Buns of Teal,My Chemical Throwmance,1,4,0.5707700974545288,0.539862886344973
2/19/2025 19:40:00,Pulp Friction,Macaroni in a Pot,2,2,0.510268472575055,0.6498494296985889
2/19/2025 20:00:00,Dyke Dynasty,Charcoochie,1,3,0.5228515494172737,0.3953502793408467
2/19/2025 20:00:00,Red Light District,It's the cLIME,2,3,0.523223780665632,0.6482408613655577
2/19/2025 20:20:00,Call Me Navy,Purple Pain,2,2,0.47931597862958436,0.2881429916865912
2/19/2025 20:20:00,Macaroni in a Pot,Ice Dykes,1,3,0.47032889558449553,0.23560991482470575
2/19/2025 20:40:00,Charcoochie,Red Light District,3,3,0.49715606163847675,0.5745190766677641
2/19/2025 20:40:00,It's the cLIME,Mary Wannas,2,3,0.5376072793664206,0.5132499254883087
2/23/2025 16:15:00,2 Girls 1 Train,PATH to Poundtown,4,2,0.5545647439036214,0.42555347092169643
2/23/2025 16:15:00,Reese's Pieces,Big D (train) Energy,1,6,0.476407142116502,0.3125629280609989
2/23/2025 16:35:00,Big D (train) Energy,Sixual Tension,4,4,0.4648891652648852,0.27902453256672666
2/23/2025 16:35:00,PATH to Poundtown,QTs,2,3,0.5008926898492079,0.39325926328462685
2/23/2025 16:55:00,QTs,Reese's Pieces,7,0,0.5072825002056873,0.9236742550049958
2/23/2025 16:55:00,Sixual Tension,2 Girls 1 Train,4,3,0.5018330981468249,0.4686174622121832
2/26/2025 19:00:00,Call Me Navy,Red Light District,1,4,0.5148868063845567,0.4503277148331496
2/26/2025 19:00:00,Charcoochie,Ice Dykes,3,1,0.46558791199889193,0.3854159661226222
2/26/2025 19:20:00,Buns of Teal,Mary Wannas,3,2,0.553905599617492,0.6900556077457948
2/26/2025 19:20:00,My Chemical Throwmance,Macaroni in a Pot,5,1,0.4624856712035274,0.7762334276031799
2/26/2025 19:40:00,Charcoochie,It's the cLIME,2,1,0.49839239725799983,0.6997642928237795
2/26/2025 19:40:00,Pulp Friction,Purple Pain,3,1,0.4889280869035732,0.36899894145862094
2/26/2025 20:00:00,Dyke Dynasty,Call Me Navy,4,0,0.5084647052838251,0.5060391490315904
2/26/2025 20:00:00,Red Light District,Buns of Teal,1,6,0.444646409553762,0.3965272549660228
2/26/2025 20:20:00,Ice Dykes,My Chemical Throwmance,3,1,0.5695841799014015,0.4472049094390888
2/26/2025 20:20:00,Mary Wannas,Pulp Friction,2,4,0.4737249459934199,0.35350794468198016
2/26/2025 20:40:00,It's the cLIME,Dyke Dynasty,0,5,0.47691500023209143,0.4268908142959995
2/26/2025 20:40:00,Purple Pain,Macaroni in a Pot,3,2,0.5174463567874604,0.742989736561782
3/2/2025 16:15:00,QTs,2 Girls 1 Train,3,3,0.48457437409643855,0.6539386429715955
3/2/2025 16:15:00,Sixual Tension,PATH to Poundtown,4,3,0.6029882888834345,0.5864364376051608
3/2/2025 16:35:00,Big D (train) Energy,QTs,3,4,0.5232487568977906,0.1985489330423421
3/2/2025 16:35:00,Reese's Pieces,Sixual Tension,1,6,0.40021356579676615,0.08672499380372048
3/2/2025 16:55:00,2 Girls 1 Train,Reese's Pieces,7,0,0.5176631945696353,0.8913914845269016
3/2/2025 16:55:00,PATH to Poundtown,Big D (train) Energy,5,1,0.4518235933538164,0.6476189262233474
3/5/2025 19:00:00,Call Me Navy,Charcoochie,2,3,0.5182314067166557,0.24710655183937508
3/5/2025 19:00:00,Red Light District,Macaroni in a Pot,2,4,0.5057063397969819,0.6803390949609751
3/5/2025 19:20:00,Dyke Dynasty,Pulp Friction,3,0,0.5034731294082504,0.4118770157474125
3/5/2025 19:20:00,Mary Wannas,My Chemical Throwmance,2,2,0.5195171531681851,0.2627754958088033
3/5/2025 19:40:00,Ice Dykes,Purple Pain,1,3,0.506449058871108,0.5783218474525352
3/5/2025 19:40:00,It's the cLIME,Call Me Navy,2,2,0.4912003971571871,0.49077396309495297
3/5/2025 20:00:00,Charcoochie,Buns of Teal,1,3,0.45543195376643125,0.45177258696120504
3/5/2025 20:00:00,Macaroni in a Pot,Mary Wannas,2,2,0.5230932529997618,0.46922004389576255
3/5/2025 20:20:00,Purple Pain,My Chemical Throwmance,3,2,0.5667166223558421,0.5233076375146536
3/5/2025 20:20:00,Red Light District,Pulp Friction,1,3,0.48137189165645305,0.41122956064654004
3/5/2025 20:40:00,Buns of Teal,Dyke Dynasty,2,3,0.5405437401868275,0.6664128191243716
3/5/2025 20:40:00,It's the cLIME,Ice Dykes,2,2,0.4617392734864202,0.22667467357913115
3/9/2025 16:15:00,Big D (train) Energy,2 Girls 1 Train,5,2,0.4912388066073811,0.25421907310796465
3/9/2025 16:15:00,QTs,PATH to Poundtown,4,1,0.5870381525888272,0.6883357160801238
3/9/2025 16:35:00,Reese's Pieces,PATH to Poundtown,0,7,0.5426091589933194,0.14106318455001482
3/9/2025 16:35:00,Sixual Tension,QTs,4,4,0.5509360857962208,0.37898756052728044
3/9/2025 16:55:00,2 Girls 1 Train,Sixual Tension,4,5,0.4364272984823906,0.3680775551090529
3/9/2025 16:55:00,Big D (train) Energy,Reese's Pieces,8,0,0.5090473442236153,0.8297907881176656
3/12/2025 19:00:00,Call Me Navy,Ice Dykes,1,4,0.47350690154185504,0.23911571699719583
3/12/2025 19:00:00,Purple Pain,Mary Wannas,2,4,0.5644388114260023,0.7543389331217637
3/12/2025 19:20:00,Buns of Teal,It's the cLIME,2,2,0.5404828895814341,0.792477724978174
3/12/2025 19:20:00,Pulp Friction,Charcoochie,3,1,0.5041539273559081,0.4680814752105855
3/12/2025 19:40:00,Macaroni in a Pot,Dyke Dynasty,3,2,0.44799912654402085,0.2824776424413776
3/12/2025 19:40:00,My Chemical Throwmance,Red Light District,6,1,0.45927786595773734,0.6901988018722462
3/12/2025 20:00:00,Mary Wannas,Ice Dykes,2,3,0.44672773741912364,0.3044065510940235
3/12/2025 20:00:00,Pulp Friction,It's the cLIME,4,2,0.49402833802049706,0.7196370583010755
3/12/2025 20:20:00,Buns of Teal,Call Me Navy,4,0,0.5376416480182242,0.8127809957186214
3/12/2025 20:20:00,Red Light District,Purple Pain,2,3,0.4575320036618889,0.27792192099317364
3/12/2025 20:40:00,Dyke Dynasty,My Chemical Throwmance,0,5,0.5686854066933388,0.43084330740079346
3/12/2025 20:40:00,Macaroni in a Pot,Charcoochie,2,3,0.48795002883285493,0.3500214847376157
3/16/2025 16:15:00,2 Girls 1 Train,Reese's Pieces,9,0,0.489046959751332,0.8815039627107139
3/16/2025 16:15:00,PATH to Poundtown,Big D (train) Energy,4,2,0.44644066755322254,0.6031117238881801
3/16/2025 16:35:00,QTs,PATH to Poundtown,2,3,0.6003627694904842,0.6563255918638873
3/16/2025 16:35:00,Sixual Tension,2 Girls 1 Train,2,5,0.6229741706967117,0.6570071697184037
3/16/2025 16:55:00,PATH to Poundtown,2 Girls 1 Train,5,3,0.4977419898323928,0.544922621522295
4/27/2025 16:35:00,Gaydes,Serving Cunt(ress),7,0,0.5088706400570978,0.5268336994212545
4/27/2025 16:35:00,Thunder Cunts,DioNasties,3,3,0.5489434900631577,0.6866652602071784
4/27/2025 16:55:00,Aphrodisiacs,Thunder Cunts,1,7,0.4633881694865415,0.4440362220078739
4/27/2025 16:55:00,ur mom,DioNasties,4,2,0.4940699337114215,0.3949697047563008
4/27/2025 17:15:00,Aphrodisiacs,Gaydes,2,4,0.45765596821986215,0.4040689107829216
4/27/2025 17:15:00,ur mom,Serving Cunt(ress),5,2,0.48191680584460816,0.49735167587032936
4/30/2025 19:00:00,Citrus Got Real,Dandy Lions,3,3,0.493022316417249,0.6379882848713078
4/30/2025 19:00:00,U-Haul Red-y,Extra Virgin Olive Oil,1,3,0.5301721852553585,0.40751812367993817
4/30/2025 19:20:00,Hoedrangeas,Snowmosexuals,1,3,0.4940236718341244,0.5898568913535405
4/30/2025 19:20:00,Winner Mintality,The Garden Hoes,4,0,0.5085303327028083,0.479389114443456
4/30/2025 19:40:00,Carrot Tops,Lavender Menaces,2,3,0.492561515478749,0.5188714766956506
4/30/2025 19:40:00,Pop-Off-y Seeds,Pink Peony Club,2,1,0.4927353445522093,0.4095476591101426
4/30/2025 20:00:00,Dandy Lions,Extra Virgin Olive Oil,4,1,0.538776333552563,0.327269273176821
4/30/2025 20:00:00,Snowmosexuals,Citrus Got Real,3,2,0.4825442489368409,0.4688991371925161
4/30/2025 20:20:00,Lavender Menaces,Pop-Off-y Seeds,3,2,0.520298913226582,0.433672773449133
4/30/2025 20:20:00,U-Haul Red-y,Pink Peony Club,4,1,0.5075133884213076,0.40604205475299776
4/30/2025 20:40:00,Hoedrangeas,Winner Mintality,1,3,0.46933280635857333,0.4260247434546019
4/30/2025 20:40:00,The Garden Hoes,Carrot Tops,3,1,0.5294501695010075,0.5943532977820148
5/4/2025 16:35:00,DioNasties,Aphrodisiacs,4,1,0.5158839326897348,0.43370994966782417
5/4/2025 16:35:00,Serving Cunt(ress),Thunder Cunts,1,5,0.4939629389425914,0.199290974482728
5/4/2025 16:55:00,Aphrodisiacs,ur mom,3,4,0.48253845483998997,0.41157939923387965
5/4/2025 16:55:00,Thunder Cunts,Gaydes,5,0,0.49190109025363704,0.5589992045754031
5/4/2025 17:15:00,Serving Cunt(ress),DioNasties,0,5,0.5155765576092529,0.36264205561841484
5/4/2025 17:15:00,ur mom,Gaydes,5,0,0.5064241542421645,0.4126416474969825
5/7/2025 19:00:00,Pop-Off-y Seeds,The Garden Hoes,0,5,0.472680686035967,0.459836120191575
5/7/2025 19:00:00,Snowmosexuals,Dandy Lions,2,3,0.49561618926871176,0.5358006633927043
5/7/2025 19:20:00,Extra Virgin Olive Oil,Winner Mintality,3,1,0.45765812965163327,0.4111930480840581
5/7/2025 19:20:00,Lavender Menaces,U-Haul Red-y,2,3,0.5234994628141699,0.48606332483677156
5/7/2025 19:40:00,Carrot Tops,Hoedrangeas,4,0,0.49295876650784926,0.4156074360723137
5/7/2025 19:40:00,The Garden Hoes,Pink Peony Club,2,2,0.5132284171011082,0.5821017333143889
5/7/2025 20:00:00,Citrus Got Real,Winner Mintality,0,3,0.48431454682683833,0.4608672560154965
5/7/2025 20:00:00,U-Haul Red-y,Dandy Lions,1,3,0.49643803894049765,0.5127766834752282
