stint,coef_mean,coef_std
Red For Filth::2023,-1.081612,0.063097
Limoncellhoes::2023,0.094050,0.029975
The Grey Agenda::2023,0.147290,0.052516
Gay Grimaces::2023,0.215113,0.041350
Booooo Bs::2023,0.242628,0.033520
Coochie Monsters::2023,0.382531,0.038324
Naughty Nympho Navy::2024,-0.145871,0.066837
Green Beans::2024,0.019707,0.068602
H2-Ho::2024,0.216118,0.047243
Mommyâ€™s DisappointMints::2024,0.063160,0.059614
Stupid Cupids::2024,-0.007250,0.029910
The Orangynas::2024,-0.180954,0.025807
"Be Gay, Do Lime::2024",-0.200153,0.038109
blU-Haul::2024,-0.115873,0.041979
Flint Flickers::2024,0.218959,0.039994
Violent Violets::2024,0.132157,0.037706
Blue is the Warmest Dodgeball::2024,-0.210130,0.089335
Blue-Footed Boobies::2024,-0.127357,0.044501
Red Dyke District::2024,-0.002541,0.055418
Glacial Gushers::2024,0.115428,0.054114
Inti-MINT-cy issues::2024,0.311295,0.054186
Let's Have a Kiwi::2024,-0.051600,0.095805
Purple Pounders::2024,-0.009086,0.059575
Honey Nut Queerios::2024,0.154968,0.063098
Bubblegum Bitches::2024,-0.082441,0.068210
Lemon Drop Thots::2024,-0.098537,0.061225
bratz::2024,-0.159561,0.038711
Royal Pain in the Ice::2024,0.043295,0.006398
GAYtors::2024,0.009338,0.032337
Big Eggplant Energy::2024,-0.111230,0.039287
Ice To Go::2024,-0.176869,0.026937
Midnight Snack::2024,-0.094809,0.054172
Red For Filth::2024,0.942640,0.052589
Idina Mintzels::2024,-0.249756,0.029180
S*xual Tealing::2024,0.005803,0.042756
Citrus on My Face::2024,-0.090679,0.024686
C*Mquats::2024,-0.034481,0.023868
the dodgefathers::2024,-0.083691,0.031266
Clementops::2024,-0.026073,0.055349
Froggays::2024,0.014618,0.012926
The Blue Ballers::2024,-0.049447,0.067244
Urine Trouble::2024,-0.063934,0.051135
Naughty Hotties::2024,0.202801,0.017081
Twerkoise::2024,0.160941,0.029082
Queermint::2024,0.158952,0.076358
Lime and Punishment::2024,-0.166243,0.079308
Winona Ride Her::2024,0.033055,0.052284
Violetly Gay::2024,-0.036782,0.041147
Wet Dreams::2024,-0.039651,0.026007
Cardinal Sinners::2024,-0.188236,0.072845
Cuntolina Panthers::2024,0.169237,0.048506
Washington Formanders::2024,-0.227970,0.037254
Mean Gay Packers::2024,0.147046,0.151877
Vikinks::2024,0.023974,0.129472
Edgar Allen Hoes::2024,-0.177628,0.042761
Gay Sharks::2024,0.065341,0.066754
Big D (train) Energy::2025,-0.003541,0.058947
Reese's Pieces::2025,-0.271869,0.035111
QTs::2025,0.100121,0.038818
Sixual Tension::2025,0.125004,0.076321
PATH to Poundtown::2025,0.052396,0.043012
2 Girls 1 Train::2025,-0.002111,0.104223
My Chemical Throwmance::2025,0.163472,0.053883
Dyke Dynasty::2025,-0.099800,0.068561
Purple Pain::2025,0.222205,0.023347
Red Light District::2025,-0.131043,0.021478
Charcoochie::2025,0.001845,0.053230
Macaroni in a Pot::2025,-0.141467,0.043990
Ice Dykes::2025,0.063815,0.049527
Mary Wannas::2025,0.089515,0.050984
Call Me Navy::2025,-0.159934,0.028791
Buns of Teal::2025,-0.031711,0.058242
It's the cLIME::2025,-0.096767,0.045152
Pulp Friction::2025,0.119870,0.074593
Gaydes::2025,0.031452,0.028388
Serving Cunt(ress)::2025,-0.179775,0.061687
Aphrodisiacs::2025,-0.208589,0.102530
Thunder Cunts::2025,0.168985,0.104884
ur mom::2025,0.210919,0.103521
DioNasties::2025,-0.022992,0.138138
U-Haul Red-y::2025,0.122968,0.043829
Extra Virgin Olive Oil::2025,0.142962,0.021491
Hoedrangeas::2025,-0.252860,0.059751
Snowmosexuals::2025,0.152644,0.040574
Winner Mintality::2025,0.117178,0.065172
The Garden Hoes::2025,-0.106580,0.080942
Carrot Tops::2025,-0.201617,0.035881
Lavender Menaces::2025,-0.089395,0.024108
Pop-Off-y Seeds::2025,-0.072799,0.055823
Pink Peony Club::2025,-0.052655,0.053154
Dandy Lions::2025,0.388794,0.088575
Citrus Got Real::2025,-0.148640,0.031367
Gridlock Boston::2025,0.123852,0.103523
Empire Boston::2025,0.170201,0.042962
Big Apple Bottoms::2025,-0.221455,0.077399
Subway Surfers::2025,-0.072598,0.039953
Drill::2025,-0.117786,0.083137
Tool Belt::2025,0.119727,0.032913
Stud Finder::2025,0.041145,0.053011
Loose Screw::2025,-0.043085,0.028330
GayTorade::2025,-0.077015,0.086619
Dark Roast Doms::2025,0.019290,0.032415
The Bloody Marys::2025,-0.090955,0.062990
Cinnamint Toast Munch::2025,0.184599,0.052509
Green Eggs and Sam::2025,-0.136586,0.035383
Jolly Green Gays::2025,0.114498,0.051565
Yolked & Choked::2025,0.003699,0.038286
Captain Munch::2025,0.054298,0.089416
Ferociously Fruity Pebbles::2025,-0.170190,0.062654
Purple P***y Eaters::2025,0.098361,0.063533
Better Late Than Never::2025,0.049542,0.105224
Clit Bait Tourney::2025,0.032337,0.081228
Sizzorhood::2025,-0.016477,0.020129
Sticky Fingers::2025,0.079530,0.070414
The Fantastic Flore::2025,-0.159515,0.076319
Substantial Women::2025,0.014582,0.043226
Gridlock Nola::2025,-0.024793,0.013570
Empire Nola::2025,0.024793,0.013570
Gengar::2025,0.082829,0.076413
Charmander::2025,0.098016,0.018989
Lickitung::2025,-0.026909,0.109823
Articuno::2025,-0.058344,0.072148
Cubone::2025,-0.095592,0.071299
Cunt Dracula::2025,-0.228880,0.058429
Count Von Cunt::2025,-0.105193,0.048017
Howlsexuals::2025,0.298341,0.048791
Dykeness Monsters::2025,-0.287568,0.078405
And They Were Broomates::2025,-0.135176,0.093709
Hump Her Stiltskin::2025,0.120484,0.033460
Ghouls Gone Wild::2025,-0.120211,0.059359
Fearmint::2025,0.133393,0.033459
Yeti Set Go::2025,0.083975,0.108038
Peach Gobblers::2025,0.240836,0.073201
Clit Bait Charity::2025,0.100880,0.061851
Wetness Protection Program::2025,0.213973,0.016003
Gridlock Charity::2025,0.021205,0.077026
Itty Bitty Char(titty) Committee::2025,-0.002417,0.097715
Mixed Bag::2025,-0.355374,0.056341
Service Tops::2025,0.021734,0.082339
