trial,value,beta,draw_probability,mu,sigma,tau
63,0.6443787757836447,1998.695701537158,0.33330145064616584,1000.0,574.6282222483896,9.564628243348192
72,0.6443851560779944,1947.802748782493,0.4055326747468136,1000.0,586.3323183534523,9.301808270887083
91,0.6444178838907861,1954.8597016210108,0.34233125660930547,1000.0,554.9383943970608,8.72874603794658
86,0.6444249009058015,1955.817561933763,0.33240314387778136,1000.0,584.4615971623205,8.62389175525493
93,0.6444517556029367,1926.0940661077134,0.3343854607199707,1000.0,557.5642781704336,8.808145967911953
92,0.6444869317243896,1935.802011050717,0.33310482127674435,1000.0,549.6706851934852,8.642693843451307
51,0.6445301279220638,1997.0544840783969,0.3590589678346675,1000.0,534.0953817885464,8.51389481836171
94,0.6445448779167713,1930.9632700284017,0.3136116839109242,1000.0,558.2759309139276,8.833634131082793
95,0.6445938583305203,1953.201821976415,0.3165946638358558,1000.0,613.7386155571146,8.679638510917952
97,0.6446043616415063,1947.1619200146224,0.3016568880767629,1000.0,608.965098443871,9.118984048209175
96,0.644605903621069,1922.8537841845618,0.3048194936196398,1000.0,554.2931977917473,8.957029848158118
53,0.6446084872675192,1828.7574746919631,0.3433487925877259,1000.0,556.6384206905778,9.431968183641771
81,0.6446085194849489,1873.1583266308667,0.3507031022961205,1000.0,580.1817552281755,8.731330802856094
76,0.644610300265004,1785.7313899029573,0.34910124253967356,1000.0,507.02993199469734,7.666082657056424
98,0.6446269149271713,1947.0208898636624,0.2864859583490841,1000.0,607.6290288074485,8.482069511095922
64,0.6446410419545462,1998.1601725476214,0.3382201537695589,1000.0,637.432016905448,9.585946070571476
27,0.6446573147774219,1774.535525193808,0.3464038068783592,1000.0,539.5690406727904,6.067841856702126
49,0.6446716517384976,1995.267034556823,0.3468040916762858,1000.0,530.400673923729,8.309985982384974
89,0.6446826454343993,1657.979873726693,0.3790126274825122,1000.0,474.88217824873675,8.093429982420446
54,0.644731788503355,1836.188107768859,0.34078425742878093,1000.0,575.423401302541,9.427972550819097
82,0.6448242729876636,1879.284682160049,0.32123663252626616,1000.0,511.0508334210376,8.750187591086233
73,0.6449572583775968,1866.1785333740786,0.4208284132471295,1000.0,589.6272831721508,9.755975925023886
66,0.644960125795106,1919.659838665262,0.37955151413815735,1000.0,622.1376131072584,9.09631757384041
48,0.6449606244099192,1812.4507684975397,0.25412703114214974,1000.0,536.4247247894966,8.3042661540785
71,0.6449784991568124,1932.072275158019,0.3820835109096462,1000.0,627.6337096873176,9.062772071374859
78,0.6450473867889427,1999.833213773349,0.3609838756961663,1000.0,502.6493366555195,8.189022689961037
28,0.6450703591606647,1751.5762375675872,0.2355219986823946,1000.0,561.5958042883458,6.085545553286538
58,0.6450809677224778,1824.9895561777305,0.3278752278532744,1000.0,479.5500174903322,8.96626367333443
26,0.6451287160113047,1665.1098679276147,0.40208779968381797,1000.0,528.6338110339549,5.9539423761127495
77,0.6451310959403209,1784.4618623513452,0.4394490328470487,1000.0,425.19839360536605,7.622641463646774
46,0.6451728156055054,1936.7917278766236,0.27974472920406146,1000.0,529.1279289150812,5.667710840372077
79,0.645227777135012,1696.6157589392653,0.3100194665844248,1000.0,460.214504930939,7.338819933842047
67,0.6452429220173121,1929.2309370856983,0.36111970824000544,1000.0,644.5950527518604,9.988156225495587
61,0.6453194891220758,1786.1384220758796,0.3857817156519694,1000.0,586.7463848535983,8.807323650636459
99,0.645355589621989,1958.5795260530651,0.3165321598775444,1000.0,675.627004817903,9.158528997840518
57,0.6453745748481545,1986.2226236703884,0.30815044625161564,1000.0,508.9725555115071,8.341334284161455
38,0.645435369893777,1566.9616781277762,0.26221146768567644,1000.0,455.1788312217166,5.9270437771993585
65,0.645468394849318,1994.5645345672363,0.3356465506082622,1000.0,690.5503770694111,9.554588110886355
30,0.6454699346458944,1749.0091495262266,0.1564592473432035,1000.0,605.9135766223268,4.702058038672529
87,0.6454734113246063,1741.0518047651726,0.32797521046046774,1000.0,589.6172064838449,8.564550411601143
34,0.6455120914170638,1738.141459201787,0.23666497238385859,1000.0,494.85065312832205,4.257349612678039
85,0.6456083896247211,1892.172590444946,0.3966885384634204,1000.0,637.3246385836107,9.714073938902734
31,0.6456319458335077,1753.1408144340246,0.1304597338445612,1000.0,559.5589365631796,4.808337012837653
41,0.6456933987015205,1715.0127854317038,0.21816750288267736,1000.0,613.6420913287934,5.983055919645276
55,0.6457028767078409,1891.159974351549,0.34668714576576926,1000.0,656.6902572636684,9.46994797404835
74,0.6457113120096594,1705.917142166643,0.4625968579385639,1000.0,550.4588219526424,8.601972531138074
84,0.6457824217445999,1599.9388134907952,0.36772350071569004,1000.0,534.6866673590173,8.967305762091828
75,0.6458466291700383,1955.5165281644809,0.4062802772237219,1000.0,669.6148183414905,9.315708067342712
17,0.6459467624097017,1353.166024962565,0.3217012782450013,1000.0,365.49677838353284,6.4562002773075795
39,0.6459520069636736,1517.1282776884345,0.25998602417992855,1000.0,532.0672152085558,5.8884002141673
35,0.6459643751799351,1821.9221889721466,0.09230888492129646,1000.0,567.9084203899122,5.528591518129426
33,0.6460163002035653,1979.902173933007,0.0612113654129991,1000.0,779.9512691311243,5.095715990650731
13,0.6460216362996367,1459.3551532918816,0.41973955136697666,1000.0,345.78123398662643,6.943770885036467
8,0.646108002429564,1623.191331083615,0.4244971976961483,1000.0,378.5192485322048,3.4704630224915123
36,0.6462406010131804,1693.490507055026,0.15250348935221217,1000.0,646.0420026899716,8.01294154286411
40,0.6462595678641259,1301.0193830563794,0.3545346626608733,1000.0,431.7809615585513,5.295294478303647
83,0.6463521606699387,1948.476400458625,0.34990403764244055,1000.0,709.641650341804,7.132842356688978
42,0.6464746270718255,1868.4102903084215,0.29617611187423626,1000.0,452.3776314706674,7.241633815250141
21,0.6466944003653645,1639.767595585508,0.43063037382683056,1000.0,365.91777671503615,3.857340692397889
47,0.6467465638366318,1923.3798359471796,0.28435427619625214,1000.0,459.4856789932658,7.729969146339638
22,0.647339543788177,1390.7117348119452,0.4312356568398683,1000.0,303.88660960507656,6.24063201055818
45,0.6473768851017326,1614.3320030213968,0.14142587677843357,1000.0,670.7403807492196,4.91904103045642
80,0.6474644225838182,1778.4541040734805,0.4142667156855676,1000.0,372.69172539697445,7.7701438140243075
0,0.6475962588290463,1808.641761174975,0.3885351115737664,1000.0,676.7839333121804,8.36824641575028
52,0.6478210239502266,1981.7504610858234,0.40825302363877297,1000.0,404.31278306581225,8.52955967237861
29,0.6478719630312837,1764.4435674116826,0.23547589060891194,1000.0,728.515276539089,5.704119725047378
69,0.6479045554040945,1867.6157418663424,0.32666765930382713,1000.0,734.2528755743962,9.651933077326857
14,0.6479966309087852,1412.8668187706355,0.31533215864032627,1000.0,322.46562655251546,6.885738890492498
37,0.648290272948158,1888.4224436559898,0.47565627471652905,1000.0,695.5917609542443,4.417539085300891
23,0.6483347911358766,1989.885757135972,0.34516214008234114,1000.0,423.7112763488444,4.6897923573326405
60,0.6492168997535817,1908.6985988444176,0.30802402236215715,1000.0,394.35469744355476,8.450941927828325
50,0.649920954990247,1818.8600854279646,0.37178037085410964,1000.0,748.4548083511418,9.224516444062285
88,0.6503716436299266,1860.130495247564,0.2902974597154245,1000.0,819.5069526782214,9.258112084106664
16,0.6517661313805174,1613.2588964415438,0.1890311995425898,1000.0,343.0839108982894,2.873735403226382
18,0.654196566180535,1166.3673627942362,0.3270339537449835,1000.0,193.98523496700557,9.931348731416323
4,0.6546917629586163,1139.0615305964564,0.2698912676663025,1000.0,554.6183275580651,5.677165376592921
24,0.6561777512797574,1545.349496309818,0.4453546905590276,1000.0,245.24119477157964,1.0065607544764918
56,0.656944490584207,1836.0845320969252,0.36939012805072036,1000.0,909.2018936962338,9.892117359270845
44,0.6583190869530077,1059.824803207006,0.18104809151582277,1000.0,601.4519669499903,3.313817552060744
43,0.6609624575934572,1512.4248985816844,0.39441635581168466,1000.0,792.6972794713196,6.748074216252085
6,0.6620677985299771,939.8850805050618,0.020496205002758616,1000.0,640.8920902034284,8.76381376325141
59,0.6633114071227392,609.9863301545238,0.3407801025256642,1000.0,289.0778776268295,9.476263162578244
11,0.6633176984714763,1839.776739324362,0.3735844619073672,1000.0,242.5354828408753,2.347458684828972
70,0.6671867001079236,883.070059707691,0.3925991818591324,1000.0,488.79223504926097,8.781359507592395
19,0.6677693960259221,1283.0780495538006,0.21368988912324882,1000.0,872.6233911628872,6.550780893642776
20,0.6686929367931944,829.9712028499225,0.32101217365715784,1000.0,501.47185190136076,7.286621806476655
12,0.6687046361432009,1565.4481582058718,0.3724309713493187,1000.0,956.8134436347459,7.482163847247756
90,0.6707631818138707,1482.1778324669497,0.27113677792202845,1000.0,1016.9546734597343,7.857504176562342
25,0.6745652700397777,1206.3493685288702,0.2929749020494268,1000.0,92.20090027575577,7.9167971314476535
62,0.6792366989401025,1654.3000790293231,0.35802061913202377,1000.0,1196.3861405189436,8.082437912847315
10,0.6802707221868092,1904.1728855760132,0.2775328463964184,1000.0,154.82985233025255,0.33777435093348585
5,0.6818192626176411,996.6519822665617,0.3987266750111031,1000.0,705.6272097878076,3.780137269070856
15,0.6890528042141638,1411.8734938994135,0.4443820532971364,1000.0,70.1779753561018,2.1812300398708597
2,0.7000198105117533,576.0104439662574,0.499630904950319,1000.0,433.99751118227647,4.248785690740079
7,0.7014352510439406,452.31087283167346,0.10931784679783563,1000.0,485.49474195466576,8.886573395497395
9,0.7207204009346008,710.2344717477343,0.026386257205703145,1000.0,1108.7882056143612,5.171673854441955
68,0.7917006715709878,299.28293088988926,0.3006120166451398,1000.0,566.9080712533366,9.25196091053324
3,0.7930569124496194,483.54113818392386,0.47888781527234425,1000.0,793.44510205834,5.546097427208869
1,0.8025039871223932,254.90202720773962,0.1555119072720122,1000.0,619.788399160499,8.990185691207886
32,1.0240279541985111,44.446258789599824,0.1842957062728849,1000.0,605.5093478259352,6.202587115258108
